path	historical_source	historical_sha256	operation
Source_data/general_metrics/clean_pruning_01/outer_paired_records.jsonl.gz	clean_pruning_01/outer_paired_records.jsonl	9cdbbb09155bcd946e22b344c062c2e438b59481b347104adc162d6333d0b24c	gzip only
Source_data/general_metrics/clean_pruning_01/comparison_summary.json	clean_pruning_01/comparison_summary.json	489afb39e68d3e80f8e4a7cf700fb378638c04eb54a2a2d2635ad84d90833bf6	remove local machine path prefixes; scientific values unchanged
Source_data/general_metrics/clean_pruning_01/mode_selections.jsonl.gz	clean_pruning_01/mode_selections.jsonl	d848c168a0cc465e25ca952f3a3a255c5ad9c489629daa626b73efb800aab7c4	gzip only
Source_data/general_metrics/interaction_paired_sequence_01/paired_query_records.jsonl.gz	interaction_paired_sequence_01/paired_query_records.jsonl	1b5f37bb048b03d9482d06632a9b7949e57f2d0926a147b6becb00143805dccc	gzip only
Source_data/general_metrics/interaction_paired_sequence_01/comparison_summary.json	interaction_paired_sequence_01/comparison_summary.json	7ee20509bf0ead407bc531c431a6d23af0001f9edb15e675c88656b3bc68fc90	remove local machine path prefixes; scientific values unchanged
Source_data/general_metrics/structure_paired_02/paired_query_records.jsonl.gz	structure_paired_02/paired_query_records.jsonl	c24e902ccbd93c28f7f9f1802d7f1b0f8dd65f68da6fa8964cfc6ed432b471dc	gzip only
Source_data/general_metrics/structure_paired_02/comparison_summary.json	structure_paired_02/comparison_summary.json	cc24fe67ff55158346f9e3af34cb7f0925334b44b2618ff43592f4e52e6bdf44	remove local machine path prefixes; scientific values unchanged
Source_data/general_metrics/reverse_baselines_01/per_query_metrics.jsonl.gz	reverse_baselines_01/per_query_metrics.jsonl	d8cc13488779133e343f7bba5d5a8b6e84189caf58cc71ee9fed09ba64d7b2d2	gzip only
Source_data/general_metrics/reverse_baselines_01/paired_query_records.jsonl.gz	reverse_baselines_01/paired_query_records.jsonl	05c534cf524e61af564f6128e6b884d436af00fedbacf1fd9fb15d097c69d34a	gzip only
Source_data/general_metrics/reverse_baselines_01/method_summary.json	reverse_baselines_01/method_summary.json	15bd2e4341b0b8b3a0dd2ca63a07e90bb12adbed5b0a437928cd8fba964104b1	remove local machine path prefixes; scientific values unchanged
Source_data/general_metrics/reverse_baselines_01/comparison_summary.json	reverse_baselines_01/comparison_summary.json	5f61342c768e3c97aa8817ae6190130dd5027279d41ea29f1a0af251ef2129ff	remove local machine path prefixes; scientific values unchanged
Source_data/general_metrics/reverse_baselines_01/permutation_controls.json	reverse_baselines_01/permutation_controls.json	cb1411068f965d3b05d83cb91ebfab67bbb50012d9e75332e02af3ad53ceb8f0	remove local machine path prefixes; scientific values unchanged
Source_data/general_metrics/reverse_baselines_01/acceptance.json	reverse_baselines_01/acceptance.json	b1e9c9d968207d819c76bc7179ac591e5c8f8a593a4be0f29c5a69f80f11ba40	remove local machine path prefixes; scientific values unchanged
Source_data/general_metrics/dataset_02/dataset_audit.json	dataset_02/dataset_audit.json	36ba69c94cd693e5f1e4480e1a5222ac488383cc3daa4cb9c18b30807b233032	remove local machine path prefixes; scientific values unchanged
Source_data/general_metrics/annotation_02/annotation_resolution_audit.json	annotation_02/annotation_resolution_audit.json	973ecbe7ee3de5d4f6da7b918772e9d363470fd15ab80c0c533edbb5606f9e4d	remove local machine path prefixes; scientific values unchanged
