compound_inchikey	scaffold_group	development_fold
AALVUUMVCUHIRJ-UHFFFAOYSA-N	ring:C1=C(CCCCOC2CCCCO2)OC2CC3C(CCC4C5CCC(OC6CCCC(COC7CCCCO7)O6)CC5CCC43)C12	0
AAOVKJBEBIDNHE-UHFFFAOYSA-N	ring:O=C1CN=C(c2ccccc2)c2ccccc2N1	4
ABAQSBNXJMXUHX-UHFFFAOYSA-N	ring:O=C(Cc1ccccc1)Cc1ccccc1	2
ABXHVUYVHJIOMQ-UHFFFAOYSA-N	ring:O=C1CN=CCCOC(=O)CN=CCN=CCNC(=O)CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CNCC=N1	2
ACCBJOPUSBTZKZ-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OC3CC(OC4CCCOC4)OCC3OC3CC(OC4CC(OC5CCCCO5)CCO4)CCO3)O2)OC1	1
ACCMWZWAEFYUGZ-UHFFFAOYSA-N	ring:c1ccc(CCN2CCC(c3nc4ccccc4[nH]3)CC2)cc1	1
ACHFSGOIKJNVJV-UHFFFAOYSA-N	ring:c1ccc2oc(-c3ccc4c(c3)OCO4)cc2c1	1
ACVGWSKVRYFWRP-UHFFFAOYSA-N	ring:O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12	0
ACWBBAGYTKWBCD-UHFFFAOYSA-N	ring:c1ccccc1	0
ACWBQPMHZXGDFX-UHFFFAOYSA-N	ring:c1ccc(-c2ccccc2-c2nn[nH]n2)cc1	0
ACXLVKYMISNUFD-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC13CCC(CCC21)C3	3
ADEBPBSSDYVVLD-UHFFFAOYSA-N	ring:O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1	1
ADFCQWZHKCXPAJ-UHFFFAOYSA-N	ring:c1ccc(C2COc3ccccc3C2)cc1	4
ADHYBIYGSXQYDM-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCN2	0
ADJNQGJVAJRCCO-UHFFFAOYSA-N	acyclic_connectivity:C=CC(O)C#CC#CC=CC=CC(O)CCCCC	2
ADSALMJPJUKESW-UHFFFAOYSA-N	ring:C1CCNC1	1
AEMOLEFTQBMNLQ-UHFFFAOYSA-N	ring:C1CCOCC1	3
AFBDSAJOMZYQAI-UHFFFAOYSA-N	ring:c1ccc(COC2OCCNC2c2ccccc2)cc1	0
AFLNGLSTOJPKJJ-UHFFFAOYSA-N	ring:C1=C2C3CCCCC3CCC2C2CCC3CC(OC4CCC(OC5CCCCO5)CO4)CCC3C2C1	0
AFZCVSRIUXFFJO-UHFFFAOYSA-N	ring:O=C1CCC2C(CCC34C=CC(CC3)CC24)C1	4
AFZHQMQGUKDWSJ-UHFFFAOYSA-N	ring:C=C1CCC2C(CCC3CCCC32)C1	3
AGABNGOXUSXQDD-UHFFFAOYSA-N	ring:O=c1ccc2cc3c(cc2o1)OCCC3	0
AGGQBLQYYGOWKY-UHFFFAOYSA-N	ring:C1=C2CC(OC3CCC(OC4OCCC(OC5CCCCO5)C4OC4CCCCO4)CO3)CCC2C2CCC3C(CC4C3CC3CCCCN34)C2C1	2
AGHANLSBXUWXTB-UHFFFAOYSA-N	ring:O=C(c1ccccc1)c1cccs1	4
AGNAZKCPHGYYKE-UHFFFAOYSA-N	ring:C=C1CCC2C3=CCC4CCCCC4C3=CCC12	4
AGNUIQKIUPCFET-UHFFFAOYSA-N	ring:C1COCO1	0
AGOYDEPGAOXOCK-UHFFFAOYSA-N	ring:O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1	3
AGSLYHYWLYGAOU-UHFFFAOYSA-N	ring:c1ccc(Cc2ccccc2)cc1	2
AGXLQRPCBKYRSR-UHFFFAOYSA-N	ring:C1CC2OOC34C(C1)CCCC3CCOC4O2	4
AHEWVDSAOCOLCK-UHFFFAOYSA-N	ring:O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5CC(OC6CC(OC7CCCCO7)CCO6)CCO5)CC4CCC3C1CC2	2
AHKHKMDMRHPLNJ-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
AHLPHDHHMVZTML-UHFFFAOYSA-N	acyclic_connectivity:NCCCC(N)C(=O)O	1
AIILTVHCLAEMDA-UHFFFAOYSA-N	acyclic_connectivity:CCC(=O)SC	0
AIJULSRZWUXGPQ-UHFFFAOYSA-N	acyclic_connectivity:CC(=O)C=O	4
AINNVCLTLJOODL-UHFFFAOYSA-N	ring:C1COCC(OC2CCCC(COC3CCCO3)O2)C1	1
AIONOLUJZLIMTK-UHFFFAOYSA-N	ring:O=C1CC(c2ccccc2)Oc2ccccc21	1
AJYLEJBHVLQJTI-UHFFFAOYSA-N	ring:O=C(OC1CCCCO1)C1CCCC23CC24CCC2CCCC2C4CCC13	1
AKDLSISGGARWFP-UHFFFAOYSA-N	ring:c1ccccc1	0
AKVBCGQVQXPRLD-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCC(N)C(=O)O	4
ALARQZQTBTVLJV-UHFFFAOYSA-N	ring:O=C1NC(=O)C(c2ccccc2)C(=O)N1	3
ALFGKMXHOUSVAD-UHFFFAOYSA-N	ring:c1ccc(C2CCNCC2)cc1	4
ALLWOAVDORUJLA-UHFFFAOYSA-N	ring:O=C(NCCc1cc(=O)[nH]c2ccccc12)c1ccccc1	1
ALMJXWPCHVBUTP-UHFFFAOYSA-N	ring:O=C1CC2C(CCC3C4C=C(CCCCOC5CCCCO5)OC4CC32)C2CCC(OC3CCC(OC4CCCCO4)C(COC4CCCCO4)O3)CC12	2
ALRLPDGCPYIVHP-UHFFFAOYSA-N	ring:c1cc2ccc3cccc4ccc(c1)c2c34	1
ALTAAUJNHYWOGS-UHFFFAOYSA-N	ring:C1CCCCC1	3
ALUFYZNLZVVCAA-UHFFFAOYSA-N	ring:O=C1CCCC(=O)C1	4
AMXPURQVAMENCC-UHFFFAOYSA-N	ring:O=C1CCCCC1	1
ANJRGSHRMWLHFZ-UHFFFAOYSA-N	ring:c1ccccc1	0
ANUCDXCTICZJRH-UHFFFAOYSA-N	ring:O=C1CN2CCOC2(c2ccccc2)c2ccccc2N1	0
ANUCHZVCBDOPOX-UHFFFAOYSA-N	ring:c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12	0
AOBORMOPSGHCAX-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCCO2	1
AOHMXFJFQLUIJL-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCC=CCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC	3
AOIQKSHKQIJFMK-UHFFFAOYSA-N	ring:O=C(Cc1cn(C(=O)c2ccccc2)c2ccccc12)NCCc1ccccc1	3
APPXYONGBIXGRO-UHFFFAOYSA-N	ring:O=C(c1ccccc1)C1C(c2cccc3c(=O)cc(-c4ccccc4)oc23)C=CCC1c1ccccc1	1
APSJUNFBAXIXLK-UHFFFAOYSA-N	ring:O=C(CN1CCCC1)c1ccccc1	1
AQHHHDLHHXJYJD-UHFFFAOYSA-N	ring:c1ccc2ccccc2c1	4
AQIVDANQKWQSRX-UHFFFAOYSA-N	ring:C1CCOC1	1
AQKVISOBVPVACA-UHFFFAOYSA-N	ring:c1ccc(OC2CCCCO2)cc1	2
AQOXEJNYXXLRQQ-UHFFFAOYSA-N	ring:c1ccccc1	0
AQTFQQHFHGBCPG-UHFFFAOYSA-N	acyclic_connectivity:CCN(CC)C(=O)SC	4
ARGFHYICTJBMFD-UHFFFAOYSA-N	ring:O=c1[nH]c(=O)n(CC2CCCCC2)c2nc[nH]c12	2
ARJPPNFIEQKVBB-UHFFFAOYSA-N	acyclic_connectivity:CC(=O)NCCC=O	0
ARPVSMCNIDAQBO-UHFFFAOYSA-N	acyclic_connectivity:CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)O	3
ARSRBNBHOADGJU-UHFFFAOYSA-N	ring:c1ccc2cc3c(ccc4ccccc43)cc2c1	4
ARSVRKCVNFIICJ-UHFFFAOYSA-N	acyclic_connectivity:CC(NC(=O)CC(N)C(=O)O)C(=O)O	2
ARTRTLXKTHJPRW-UHFFFAOYSA-N	ring:c1cc2c3c(c[nH]c3c1)CC1NCCCC21	3
ARZWATDYIYAUTA-UHFFFAOYSA-N	ring:c1cnc2ccc3[nH]cnc3c2c1	1
ASICPMTWQSESKX-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCC(=O)CC(=O)O	3
ASUTZQLVASHGKV-UHFFFAOYSA-N	ring:C1=CC23CCNCc4cccc(c42)OC3CC1	1
ASVDRLYVNFOSCI-UHFFFAOYSA-N	ring:c1ccc2c(c1)ccc1c3ccccc3ccc21	4
ATALOFNDEOCMKK-UHFFFAOYSA-N	ring:O=c1[nH]nc(CN2CCOC(OCc3ccccc3)C2c2ccccc2)[nH]1	0
ATHHXGZTWNVVOU-UHFFFAOYSA-N	acyclic_connectivity:CNC=O	4
ATQIQIBBBWQWOT-UHFFFAOYSA-N	ring:C1CCOCC1	3
AUCNGVTWAHBDRJ-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
AUMHDRMJJNZTPB-UHFFFAOYSA-N	ring:O=c1c(CC[SH+]c2ccccc2)cn(-c2ccccc2)n1-c1ccccc1	0
AUVVAXYIELKVAI-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCNC2CC1CCN2CCc3ccccc3C2C1	2
AVTXSAWPGCSYFO-UHFFFAOYSA-N	ring:C1CCC(OCC2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC32)OC1	2
AWGFYZFANDHELM-UHFFFAOYSA-N	acyclic_connectivity:CCC=CCCCCC=CCCCCCCCC(=O)O	2
AWJUIBRHMBBTKR-UHFFFAOYSA-N	ring:c1ccc2cnccc2c1	1
