method	nominal_release	isoform	labels	positives	released	reported_positive_hits	precision	recall
isoform_specific_knn	0.1	CYP1A2	370	136	37	33	0.8918918918918919	0.2426470588235294
isoform_specific_knn	0.1	CYP2C19	366	99	37	18	0.4864864864864865	0.18181818181818182
isoform_specific_knn	0.1	CYP2C9	549	123	55	24	0.43636363636363634	0.1951219512195122
isoform_specific_knn	0.1	CYP2D6	583	175	59	41	0.6949152542372882	0.2342857142857143
isoform_specific_knn	0.1	CYP2E1	315	88	32	22	0.6875	0.25
isoform_specific_knn	0.1	CYP3A4	852	607	86	70	0.813953488372093	0.11532125205930807
pooled_chemical_knn	0.1	CYP1A2	370	136	37	24	0.6486486486486487	0.17647058823529413
pooled_chemical_knn	0.1	CYP2C19	366	99	37	14	0.3783783783783784	0.1414141414141414
pooled_chemical_knn	0.1	CYP2C9	549	123	55	10	0.18181818181818182	0.08130081300813008
pooled_chemical_knn	0.1	CYP2D6	583	175	59	29	0.4915254237288136	0.1657142857142857
pooled_chemical_knn	0.1	CYP2E1	315	88	32	2	0.0625	0.022727272727272728
pooled_chemical_knn	0.1	CYP3A4	852	607	86	57	0.6627906976744186	0.09390444810543658
isoform_logistic	0.1	CYP1A2	370	136	37	30	0.8108108108108109	0.22058823529411764
isoform_logistic	0.1	CYP2C19	366	99	37	15	0.40540540540540543	0.15151515151515152
isoform_logistic	0.1	CYP2C9	549	123	55	21	0.38181818181818183	0.17073170731707318
isoform_logistic	0.1	CYP2D6	583	175	59	39	0.6610169491525424	0.22285714285714286
isoform_logistic	0.1	CYP2E1	315	88	32	22	0.6875	0.25
isoform_logistic	0.1	CYP3A4	852	607	86	72	0.8372093023255814	0.1186161449752883
isoform_specific_knn	0.25	CYP1A2	370	136	93	57	0.6129032258064516	0.41911764705882354
isoform_specific_knn	0.25	CYP2C19	366	99	92	36	0.391304347826087	0.36363636363636365
isoform_specific_knn	0.25	CYP2C9	549	123	138	53	0.38405797101449274	0.43089430894308944
isoform_specific_knn	0.25	CYP2D6	583	175	146	80	0.547945205479452	0.45714285714285713
isoform_specific_knn	0.25	CYP2E1	315	88	79	39	0.4936708860759494	0.4431818181818182
isoform_specific_knn	0.25	CYP3A4	852	607	213	178	0.8356807511737089	0.2932454695222405
pooled_chemical_knn	0.25	CYP1A2	370	136	93	51	0.5483870967741935	0.375
pooled_chemical_knn	0.25	CYP2C19	366	99	92	27	0.29347826086956524	0.2727272727272727
pooled_chemical_knn	0.25	CYP2C9	549	123	138	32	0.2318840579710145	0.2601626016260163
pooled_chemical_knn	0.25	CYP2D6	583	175	146	58	0.3972602739726027	0.3314285714285714
pooled_chemical_knn	0.25	CYP2E1	315	88	79	8	0.10126582278481013	0.09090909090909091
pooled_chemical_knn	0.25	CYP3A4	852	607	213	155	0.7276995305164319	0.2553542009884679
isoform_logistic	0.25	CYP1A2	370	136	93	61	0.6559139784946236	0.4485294117647059
isoform_logistic	0.25	CYP2C19	366	99	92	37	0.40217391304347827	0.37373737373737376
isoform_logistic	0.25	CYP2C9	549	123	138	47	0.34057971014492755	0.3821138211382114
isoform_logistic	0.25	CYP2D6	583	175	146	78	0.5342465753424658	0.44571428571428573
isoform_logistic	0.25	CYP2E1	315	88	79	45	0.569620253164557	0.5113636363636364
isoform_logistic	0.25	CYP3A4	852	607	213	184	0.863849765258216	0.3031301482701812
