scope	max_train_Tanimoto_interval	count	fraction
unique_compounds	[0.0,0.2)	62	0.061938061938061936
unique_compounds	[0.2,0.4)	603	0.6023976023976024
unique_compounds	[0.4,0.6)	262	0.26173826173826176
unique_compounds	[0.6,0.8)	69	0.06893106893106893
unique_compounds	[0.8,1.0]	5	0.004995004995004995
isoform_compound_rows	[0.0,0.2)	175	0.057660626029654036
isoform_compound_rows	[0.2,0.4)	1777	0.585502471169687
isoform_compound_rows	[0.4,0.6)	832	0.2741350906095552
isoform_compound_rows	[0.6,0.8)	226	0.07446457990115321
isoform_compound_rows	[0.8,1.0]	25	0.008237232289950576
