isoform	compound_inchikey	label	strict_external	evidence_category	assay_level_verification	explicit_table2_indirect_role_match	steroid_topology_negative_sensitivity_flag	names	sources	source_locators
CYP1A2	AAKJLRGGTJKAMG-UHFFFAOYSA-N	1	True	source_reported_classification	unresolved_from_available_row_metadata	False	False	erlotinib	DrugBank	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 264, ""source"": ""DrugBank"", ""name"": ""Erlotinib""}]"
CYP1A2	AALVUUMVCUHIRJ-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	True	(2r_3s_4s_5r_6r)_2_(hydroxymethyl)_6__(2r)_4__(1r_2s_4s_8s_9s_12s_13s_15r_16r_18s)_15_hydroxy_7_9_13_trimethyl_16__(2r_3r_4r_5s_6r)_3_4_5_trihydroxy_6___(2s_3r_4r_5r)_3_4_5_trihydroxyoxan_2_yl_oxymethyl_oxan_2_yl_oxy_5_oxapentacyclo_10.8.0.02_9.04_8.013_18_icos_6_en_6_yl__2_methylbutoxy_oxane_3_4_5_triol	Holmer	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 894, ""source"": ""Holmer"", ""name"": ""(2r_3s_4s_5r_6r)_2_(hydroxymethyl)_6__(2r)_4__(1r_2s_4s_8s_9s_12s_13s_15r_16r_18s)_15_hydroxy_7_9_13_trimethyl_16__(2r_3r_4r_5s_6r)_3_4_5_trihydroxy_6___(2s_3r_4r_5r)_3_4_5_trihydroxyoxan_2_yl_oxymethyl_oxan_2_yl_oxy_5_oxapentacyclo_10.8.0.02_9.04_8.013_18_icos_6_en_6_yl__2_methylbutoxy_oxane_3_4_5_triol""}]"
CYP1A2	AAOVKJBEBIDNHE-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	diazepam	Yamashita	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 1467, ""source"": ""Yamashita"", ""name"": ""diazepam""}]"
CYP1A2	ABAQSBNXJMXUHX-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	kanzonol_y	Holmer	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 1632, ""source"": ""Holmer"", ""name"": ""kanzonol_y""}]"
CYP1A2	ABXHVUYVHJIOMQ-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	permetin_a	Holmer	"[{""file"": ""CYP1A2_testingset.csv"", ""split"": ""testing"", ""row"": 291, ""source"": ""Holmer"", ""name"": ""permetin_a""}]"
CYP1A2	ACCBJOPUSBTZKZ-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	ganglioside_gt1b_(d18:1/12:0)	Holmer	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 1549, ""source"": ""Holmer"", ""name"": ""ganglioside_gt1b_(d18:1/12:0)""}]"
CYP1A2	ACCMWZWAEFYUGZ-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	bilastine	Holmer	"[{""file"": ""CYP1A2_testingset.csv"", ""split"": ""testing"", ""row"": 176, ""source"": ""Holmer"", ""name"": ""bilastine""}]"
CYP1A2	ACHFSGOIKJNVJV-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	2-(6-hydroxy-2-methoxy-3,4-methylenedioxyphenyl)benzofuran	Holmer	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 1031, ""source"": ""Holmer"", ""name"": ""2-(6-Hydroxy-2-methoxy-3,4-methylenedioxyphenyl)benzofuran""}]"
CYP1A2	ACVGWSKVRYFWRP-UHFFFAOYSA-N	1	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	rutaecarpine	Yamashita	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 462, ""source"": ""Yamashita"", ""name"": ""rutaecarpine""}]"
CYP1A2	ACWBBAGYTKWBCD-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	3_chloro_l_tyrosine	Holmer	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 1099, ""source"": ""Holmer"", ""name"": ""3_chloro_l_tyrosine""}]"
CYP1A2	ACWBQPMHZXGDFX-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	valsartan	Yamashita	"[{""file"": ""CYP1A2_testingset.csv"", ""split"": ""testing"", ""row"": 341, ""source"": ""Yamashita"", ""name"": ""valsartan""}]"
CYP1A2	ACWZRVQXLIRSDF-UHFFFAOYSA-N	1	True	source_reported_classification	unresolved_from_available_row_metadata	False	False	binimetinib	DrugBank	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 231, ""source"": ""DrugBank"", ""name"": ""Binimetinib""}]"
CYP1A2	ACXLVKYMISNUFD-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	ent-17-hydroxy-16beta-kauran-19-al	Holmer	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 1494, ""source"": ""Holmer"", ""name"": ""ent-17-Hydroxy-16beta-kauran-19-al""}]"
CYP1A2	ADEBPBSSDYVVLD-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	donepezil	Yamashita	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 847, ""source"": ""Yamashita"", ""name"": ""donepezil""}]"
CYP1A2	ADFCQWZHKCXPAJ-UHFFFAOYSA-N	0	False	source_reported_classification	unresolved_from_available_row_metadata	False	False	equol	Holmer	"[{""file"": ""CYP1A2_trainingset.csv"", ""split"": ""training"", ""row"": 1498, ""source"": ""Holmer"", ""name"": ""equol""}]"
