method	target_coverage	total_rows	selected_rows	micro_coverage	macro_precision	macro_positive_recall
pooled_chemical_knn	1.0	3035	3035	1.0	0.3590135011998236	1.0
pooled_chemical_knn	0.75	3035	2279	0.7509060955518946	0.3828897102301722	0.8043222428870559
pooled_chemical_knn	0.5	3035	1519	0.500494233937397	0.3876122547536392	0.5424508360507428
pooled_chemical_knn	0.25	3035	761	0.25074135090609556	0.38332917381476966	0.26426362294656985
pooled_chemical_knn	0.1	3035	306	0.10082372322899506	0.40427688837474024	0.11358859153409344
isoform_specific_knn	1.0	3035	3035	1.0	0.3590135011998236	1.0
isoform_specific_knn	0.75	3035	2279	0.7509060955518946	0.4054122438523556	0.8526798003557013
isoform_specific_knn	0.5	3035	1519	0.500494233937397	0.4561238391859372	0.6490529311152056
isoform_specific_knn	0.25	3035	761	0.25074135090609556	0.5442603978960237	0.40120307741419875
isoform_specific_knn	0.1	3035	306	0.10082372322899506	0.668518459558566	0.20319902636770767
