resource	version	filename	file_id	bytes	download_url	official_md5	local_sha256	local_md5_verified	analytical_use	archive_path	included_in_archive
figshare_26630515_v4	4	CYP1A2_testingset.csv	53278934	29595	https://ndownloader.figshare.com/files/53278934	898eeb74c4952a5e1a28a409737425ee	bf0a753b445538c33b5c9cb618d117b956d8a8329b73335792cbbb5accefbac8	True	Original labels	Source_data/raw_external/CYP1A2_testingset.csv	yes
figshare_26630515_v4	4	CYP1A2_trainingset.csv	53278937	160679	https://ndownloader.figshare.com/files/53278937	094c634c297ba910a3cebb4ec707f043	dc6d38a18dbbe1336d97fa8301a02782357db14bca47ca8f788a434e3b3b6b67	True	Original labels	Source_data/raw_external/CYP1A2_trainingset.csv	yes
figshare_26630515_v4	4	CYP2C9_testingset.csv	53278940	30193	https://ndownloader.figshare.com/files/53278940	96e88519e1b560d8a27a80d114fb1fe1	4f775ed56794c11aededa23210544c813c4d2412efc06a1b7702c3eac0558d0b	True	Original labels	Source_data/raw_external/CYP2C9_testingset.csv	yes
figshare_26630515_v4	4	CYP2C9_trainingset.csv	53278943	177575	https://ndownloader.figshare.com/files/53278943	35181d435144d74cba459d2ce7ed70c3	3cff01c58e5edcbcd3f9f70303ed3ea9a83c7229acf7cd481873c820fff5fbc7	True	Original labels	Source_data/raw_external/CYP2C9_trainingset.csv	yes
figshare_26630515_v4	4	CYP2C19_testingset.csv	53278946	29017	https://ndownloader.figshare.com/files/53278946	cd09b098a23d39c502127a3c2e9ffd07	376f8b6ae68793be87027b699ca9d0402cf8b57dbaeb9a711163ccfc52ece46f	True	Original labels	Source_data/raw_external/CYP2C19_testingset.csv	yes
figshare_26630515_v4	4	CYP2C19_trainingset.csv	53278949	162851	https://ndownloader.figshare.com/files/53278949	d449614b79a18e1b1ecbedd8acaa0324	408f2f7dd85f9ceab2da6a23c923023108d4e6d20493e410d885161c293b368d	True	Original labels	Source_data/raw_external/CYP2C19_trainingset.csv	yes
figshare_26630515_v4	4	CYP2D6_testingset.csv	53278952	28605	https://ndownloader.figshare.com/files/53278952	3a0b569be025384277db41cee9064ee4	eeebb6021992afcfc293ec69d7de4e2ce8d96d0782d500236f157602c703ac8a	True	Original labels	Source_data/raw_external/CYP2D6_testingset.csv	yes
figshare_26630515_v4	4	CYP2D6_trainingset.csv	53278955	183670	https://ndownloader.figshare.com/files/53278955	293f1dca0f1819aeaf0767f981f43b0b	e58a3973ce9a70f975e4aeb6a1a9b59ae06103a31a55b56de5e3745f9af73c60	True	Original labels	Source_data/raw_external/CYP2D6_trainingset.csv	yes
figshare_26630515_v4	4	CYP2E1_testingset.csv	53278958	31181	https://ndownloader.figshare.com/files/53278958	0b74e58788ecd366be986e0198c68663	85a118fca9235c1417fa6af038760cb9458b293c05a89ae661085a9418d3323e	True	Original labels	Source_data/raw_external/CYP2E1_testingset.csv	yes
figshare_26630515_v4	4	CYP2E1_trainingset.csv	53278961	155052	https://ndownloader.figshare.com/files/53278961	90a2089ec0bd5fa8ce6933d9e749e683	1b143c391259144ba048993f8288ffc9c43543d2f8ee4193432506d2dc6d6379	True	Original labels	Source_data/raw_external/CYP2E1_trainingset.csv	yes
