Resource	Accessible material	Access scope	Processing code	Reported result	Article location	Interpretation
P450Rdb	Source_data/general_metrics/identity_assertion_audit.jsonl.gz	Original CSV files and mixed-source index omitted; current download differs from frozen input	Analysis_code/analysis_code/run_raw.py; Analysis_code/analysis_code/build_reaction_core_v2.py	Source_data/figure_inputs/figure1_evidence_atlas_source_data.json; Tables/Table_S2_table_s2_annotation_resolution.tsv	Figs 1-4; S1-S2	Core annotation lineage; source assertions are not independent experiments.
UniProtKB / Swiss-Prot	Source_data/open_biological_core/uniprot_assertions.jsonl.gz; Source_data/open_biological_core/proteins.jsonl.gz	375-sequence open subset supplied; whole mixed-source qualification depends on additional inputs	Analysis_code/analysis_code/run_raw.py; Analysis_code/analysis_code/audit_annotations.py; Analysis_code/analysis_code/build_reaction_core_v2.py	Tables/Table_S2_table_s2_annotation_resolution.tsv; Source_data/figure_inputs/figure1_evidence_atlas_source_data.json	Figs 1-4; S1-S2; S4	API and Swiss-Prot are one annotation lineage. PMIDs and Pfam support are read from these records.
CYPstrate supplement	Source_data/raw_development/molecules-26-04678-s001.zip; ../data/development_labels.json	Original source supplement and all normalized development labels supplied; original split is development-exposed	Analysis_code/analysis_code/run_raw.py; Analysis_code/analysis_code/build_human_substrate.py; Analysis_code/analysis_code/evaluate_human_substrate.py	Tables/Table_S7_table_s7_external_transfer.tsv; Tables/Table_S14a_equal_k_sensitivity.tsv	Figs 5-6; S3	14,955 labels for 1,768 compounds; both original partitions are development data.
Curated CYP450 interaction dataset	Source_data/raw_external/; ../data/external_labels.json; ../evaluation/strict_external_scores.tsv	12 original label files supplied and verified; 14 unused supplier fingerprint files remain linked in S1b	Analysis_code/analysis_code/parse_external_human_cyp.py; Analysis_code/analysis_code/evaluate_external_human_cyp.py	Tables/Table_S7_table_s7_external_transfer.tsv; Tables/Table_S19_table_s19_external_audit_sensitivity.tsv; Tables/Table_S13a_selective_release_tradeoffs.tsv	Figs 5-6; S3	26 files were acquired; supplied *_PF matrices are not model inputs. The original strict external stratum has 3,035 labels.
Rhea	Source_data/open_biological_core/rhea_reactions.jsonl.gz; Source_data/open_biological_core/rhea_main_projections.json	Directional source chemistry for the open subset supplied	Analysis_code/analysis_code/run_raw.py; Analysis_code/analysis_code/audit_annotations.py; Analysis_code/analysis_code/build_reaction_core_v2.py	Tables/Table_S2_table_s2_annotation_resolution.tsv; Source_data/figure_inputs/figure1_evidence_atlas_source_data.json	Figs 1-4; S1-S2	Identity support, not an additional core protein-reaction observation lineage.
ChEBI	Analysis_code/analysis_code/reaction_roles_v1.py	Two exact chemical anchors, CHEBI:57618 and CHEBI:58210, are embedded in the rule definitions with source URLs	Analysis_code/analysis_code/reaction_roles_v1.py; Analysis_code/analysis_code/build_reaction_core_v2.py	Source_data/figure_inputs/figure1_evidence_atlas_source_data.json	Fig 1; reaction identity methods	Record-level chemical reference use; no claim that the bulk ChEBI archive was read.
Pfam PF00067 via UniProt	Source_data/open_biological_core/protein_provenance.jsonl.gz	Per-sequence family support for the 375-sequence open subset supplied	Analysis_code/analysis_code/run_raw.py; Analysis_code/analysis_code/build_reaction_core_v2.py	Tables/Table_S2_table_s2_annotation_resolution.tsv	Figs 1-4; S1	Per-protein family evidence is obtained through UniProt; separate downloaded InterPro/HMM assets are not counted as consumed.
Protein Data Bank	Provenance/resource_use_20260915/receipts/structure_matched_02/input_manifest.json	Input receipt supplied; original input not implied by receipt. See REPRODUCTION_GUIDE.md	Analysis_code/analysis_code/rebuild_structure_assets.py; Analysis_code/analysis_code/audit_structure_mapping_v2.py; Analysis_code/analysis_code/run_structure_matched_v2.py; Analysis_code/analysis_code/prepare_ordered_heme_anchor.py	Tables/Table_S5_table_s5_expert_availability.tsv; Source_data/figure_inputs/figure5_coverage_controls_source_data.json	Fig 3; S4	PDB and the local contact-template collection are one structural source. No AlphaFold input in this chain.
NCBI Taxonomy	Provenance/resource_use_20260915/receipts/taxonomy_lineages_01/input_manifest.json	Input receipt supplied; original input not implied by receipt. See REPRODUCTION_GUIDE.md	Analysis_code/analysis_code/prepare_taxonomic_lineages.py; Analysis_code/analysis_code/run_lineage_conditionals.py	Provenance/resource_use_20260915/receipts/taxonomy_lineages_01/audit.json	SI taxonomic conditional models	600 sequences, 343 ancestor-feature columns. Taxids in the reverse census primarily come from source assertions; this dump is not assigned an invented Fig 4 effect.
BRENDA	Provenance/resource_use_20260915/receipts/clean_ec_bridge_01/input_manifest.json	Input receipt supplied; original input not implied by receipt. See REPRODUCTION_GUIDE.md	Analysis_code/analysis_code/build_brenda.py; Analysis_code/analysis_code/build_named_support.py; Analysis_code/analysis_code/build_clean_ec_bridge.py	Tables/Table_S1d_Biochemical_context_audit.tsv	Methods; Tables S1c-S1d	17,429 context assertions; 227 sequences have CLEAN-compatible EC context. No added exact-reaction positive and no BRENDA-based precise candidate EC assignment.
SABIO-RK	Provenance/resource_use_20260915/receipts/run_03/consumed_raw_inputs.json	Input receipt supplied; original input not implied by receipt. See REPRODUCTION_GUIDE.md	Analysis_code/analysis_code/run_raw.py; Analysis_code/analysis_code/audit_annotations.py; Analysis_code/analysis_code/build_named_support.py	Tables/Table_S2_table_s2_annotation_resolution.tsv; Tables/Table_S1d_Biochemical_context_audit.tsv	Fig S1; Tables S2 and S1d	5,191 audited assertions; 119 qualified named-context matches to 14 existing edges; no new exact labels.
