task	method	query_panels	unique_queries	protein_groups	weighted_candidate_coverage	weighted_positive_instance_coverage	weighted_query_positive_coverage_Cw	end_to_end_MRR	covered_weighted_MRR	decomposition_product	absolute_identity_error
protein_cold_seen	uniform_expectation	95	95	27	1.0	1.0	1.0	0.011143120624901085	0.011143120624901083	0.011143120624901085	0.0
protein_cold_seen	balanced_chemistry_prior	95	95	27	1.0	1.0	1.0	0.018600977233056225	0.01860097723305622	0.018600977233056225	0.0
protein_cold_seen	homology_chemical_transport	95	95	27	0.9259259259259263	0.9259259259259263	0.9259259259259263	0.030239626974883207	0.032658797132873854	0.03023962697488321	3.469446951953614e-18
protein_cold_seen	mmseqs_top1	95	95	27	0.0036166797251088894	0.06633972752393805	0.07910981156595191	0.06887589343729694	0.8706365503080082	0.06887589343729694	0.0
protein_cold_seen	esm_cosine_top1	95	95	27	0.002803010370680479	0.10046528357931866	0.10851202079272254	0.08076905226028033	0.7443327630453379	0.08076905226028033	0.0
protein_cold_seen	esm_cosine_chemical_transport	95	95	27	1.0	1.0	1.0	0.05254295899548835	0.05254295899548834	0.05254295899548835	0.0
protein_cold_seen	esm_conditional_learned	95	95	27	1.0	1.0	1.0	0.05241556610154881	0.052415566101548794	0.05241556610154881	0.0
protein_cold_unseen	uniform_expectation	578	578	142	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.014741745192663299	0.0147417451926633	0.014741745192663299	0.0
protein_cold_unseen	balanced_chemistry_prior	578	578	142	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.006897483302548164	0.006897483302548165	0.006897483302548164	0.0
protein_cold_unseen	homology_chemical_transport	578	578	142	0.9718309859154929	0.9718309859154929	0.9718309859154929	0.010385250146522942	0.01068627188990042	0.010385250146522942	0.0
protein_cold_unseen	mmseqs_top1	578	578	142	0.0024576155821313048	0.0	0.0	0.0	nan	0.0	0.0
protein_cold_unseen	esm_cosine_top1	578	578	142	0.0021703653589196016	0.0	0.0	0.0	nan	0.0	0.0
protein_cold_unseen	esm_cosine_chemical_transport	578	578	142	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.019570596987357775	0.019570596987357778	0.019570596987357775	0.0
protein_cold_unseen	esm_conditional_learned	578	578	142	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.008625632907638285	0.008625632907638287	0.008625632907638285	0.0
chemical_cold_all	uniform_expectation	772	600	145	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.012402873866868915	0.012402873866868919	0.012402873866868915	0.0
chemical_cold_all	balanced_chemistry_prior	772	600	145	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.002292747163251068	0.0022927471632510684	0.002292747163251068	0.0
chemical_cold_all	homology_chemical_transport	772	600	145	0.9810344827586205	0.9810344827586205	0.9810344827586205	0.0060294072311609945	0.006145968706631595	0.0060294072311609945	0.0
chemical_cold_all	mmseqs_top1	772	600	145	0.002698375950506227	0.0	0.0	0.0	nan	0.0	0.0
chemical_cold_all	esm_cosine_top1	772	600	145	0.002428834525616764	0.0	0.0	0.0	nan	0.0	0.0
chemical_cold_all	esm_cosine_chemical_transport	772	600	145	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.021213327739637085	0.021213327739637088	0.021213327739637085	0.0
chemical_cold_all	esm_conditional_learned	772	600	145	0.9999999999999998	0.9999999999999998	0.9999999999999998	0.00994085314740795	0.009940853147407952	0.00994085314740795	0.0
double_cold_all	uniform_expectation	772	600	145	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.012402873866868919	0.01240287386686892	0.012402873866868919	0.0
double_cold_all	balanced_chemistry_prior	772	600	145	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.00234501004522386	0.0023450100452238605	0.00234501004522386	0.0
double_cold_all	homology_chemical_transport	772	600	145	0.9612732095490716	0.9612732095490716	0.9612732095490716	0.003540877712033005	0.003683528966436101	0.003540877712033005	0.0
double_cold_all	mmseqs_top1	772	600	145	0.002699504230505023	0.0	0.0	0.0	nan	0.0	0.0
double_cold_all	esm_cosine_top1	772	600	145	0.002140992302807033	0.0	0.0	0.0	nan	0.0	0.0
double_cold_all	esm_cosine_chemical_transport	772	600	145	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.01696418814639644	0.016964188146396445	0.01696418814639644	0.0
double_cold_all	esm_conditional_learned	772	600	145	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.003757139115128539	0.0037571391151285396	0.003757139115128539	0.0
