table	title	file	rows	source_file	scope
S1a	Data resources and pretrained models	Tables/Table_S1a_Resource_register.tsv	15	Provenance/; see register fields	resources with a traced analytical role only
S1b	External dataset files and download links	Tables/Table_S1b_External_file_downloads.tsv	26	Provenance/; see register fields	resource and acquisition provenance
S1c	Contributions of data resources to the analyses	Tables/Table_S1c_Resource_to_result_map.tsv	11	Provenance/resource_use_20260915/receipt_manifest.tsv; Analysis_code/analysis_code/	actual inputs, processing code, saved outputs and article locations
S1d	Biochemical context and reaction resolution	Tables/Table_S1d_Biochemical_context_audit.tsv	2	Provenance/resource_use_20260915/receipts/named_support_01/named_support_audit.json	existing context-resolution audit; no new exact-reaction positives
S2	Completeness of source annotations	Tables/Table_S2_table_s2_annotation_resolution.tsv	4	Source_data/analysis_tables/table_s2_annotation_resolution.tsv	recorded primary or qualification result
S3	Evaluation partitions and sample sizes	Tables/Table_S3_table_s3_split_denominators.tsv	3	Source_data/analysis_tables/table_s3_split_denominators.tsv	recorded primary or qualification result
S4	Paired effects in general reaction retrieval	Tables/Table_S4_table_s4_general_model_effects.tsv	9	Source_data/analysis_tables/table_s4_general_model_effects.tsv	recorded primary or qualification result
S5	Availability of protein representations	Tables/Table_S5_table_s5_expert_availability.tsv	5	Source_data/analysis_tables/table_s5_expert_availability.tsv	recorded primary or qualification result
S6	Species-matched enzyme retrieval	Tables/Table_S6_table_s6_reverse_retrieval.tsv	3	Source_data/analysis_tables/table_s6_reverse_retrieval.tsv	recorded primary or qualification result
S7	External substrate-ranking performance	Tables/Table_S7_table_s7_external_transfer.tsv	2	Source_data/analysis_tables/table_s7_external_transfer.tsv	recorded primary or qualification result
S8	Selective prediction operating points	Tables/Table_S8_table_s8_selective_behavior.tsv	10	Source_data/analysis_tables/table_s8_selective_behavior.tsv	recorded primary or qualification result
S9	Decomposition of coverage and ranking	Tables/Table_S9_coverage_ranking_decomposition.tsv	28	Source_data/analysis_tables/coverage_ranking_decomposition.tsv	post-evaluation diagnostic
S10a	Interaction effects in individual protein groups	Tables/Table_S10a_interaction_four_group_sensitivity.tsv	4	Source_data/analysis_tables/interaction_four_group_sensitivity.tsv	post-evaluation diagnostic
S10b	Sensitivity to omission of one evaluation group	Tables/Table_S10b_interaction_leave_one_group_out.tsv	4	Source_data/analysis_tables/interaction_leave_one_group_out.tsv	post-evaluation diagnostic
S11	External label composition and isoform performance	Tables/Table_S11_external_isoform_composition_ap.tsv	6	Source_data/analysis_tables/external_isoform_composition_ap.tsv	recorded primary or qualification result
S12a	Chemical similarity distribution	Tables/Table_S12a_external_chemical_distance_quantiles.tsv	2	Source_data/analysis_tables/external_chemical_distance_quantiles.tsv	post-evaluation diagnostic
S12b	Performance across chemical similarity bins	Tables/Table_S12b_external_chemical_distance_bins.tsv	10	Source_data/analysis_tables/external_chemical_distance_bins.tsv	post-evaluation diagnostic
S13a	Precision and recall at matched release fractions	Tables/Table_S13a_selective_release_tradeoffs.tsv	10	Source_data/analysis_tables/selective_release_tradeoffs.tsv	post-evaluation diagnostic
S13b	Isoform-specific outcomes at ten-percent release	Tables/Table_S13b_selective_release_per_isoform_10pct.tsv	6	Source_data/analysis_tables/selective_release_per_isoform_10pct.tsv	post-evaluation diagnostic
S14a	Equal-neighbour sensitivity analysis	Tables/Table_S14a_equal_k_sensitivity.tsv	2	Source_data/analysis_tables/equal_k_sensitivity.tsv	post-evaluation diagnostic
S14b	Exploratory logistic regression comparison	Tables/Table_S14b_logistic_regression_supplement.tsv	7	Source_data/analysis_tables/logistic_regression_supplement.tsv	post-evaluation diagnostic
S15	Timing of analysis specification	Tables/Table_S15_ANALYSIS_TIMELINE.tsv	7	Source_data/analysis_tables/ANALYSIS_TIMELINE.tsv	post-evaluation diagnostic
S16	Random-ranking reference for average precision	Tables/Table_S16_external_AP_context.tsv	7	Source_data/analysis_tables/external_AP_context.tsv	post-evaluation diagnostic
S17	Scoring rules and applicability of retrieval methods	Tables/Table_S17_table_s17_route_definitions.tsv	6	Source_data/analysis_tables/table_s17_route_definitions.tsv	recorded primary or qualification result
S18	Parent-identity and label-provenance audit	Tables/Table_S18_table_s18_audit_summary.tsv	10	Source_data/analysis_tables/table_s18_audit_summary.tsv	post-evaluation diagnostic
S19	Sensitivity to additional identity and label exclusions	Tables/Table_S19_table_s19_external_audit_sensitivity.tsv	6	Source_data/analysis_tables/table_s19_external_audit_sensitivity.tsv	post-evaluation diagnostic
S20	Model comparisons at early release	Tables/Table_S20_early_release_model_comparison.tsv	6	Source_data/analysis_tables/early_release_model_comparison.tsv	post-evaluation diagnostic
S21	Illustrative chemical neighbourhoods	Tables/Table_S21_interpretation_case_summary.tsv	2	Source_data/analysis_tables/interpretation_case_summary.tsv	post-evaluation diagnostic
S22a	Sensitivity to the ordering of tied scores	Tables/Table_S22a_table_s22_tie_sensitivity.tsv	8	Source_data/analysis_tables/table_s22_tie_sensitivity.tsv	post-evaluation diagnostic
S22b	Panel-level reciprocal ranks under tied scores	Tables/Table_S22b_figure2_tie_per_panel.tsv	380	Source_data/analysis_tables/figure2_tie_per_panel.tsv	post-evaluation diagnostic
