number	owner	title	url	access_date	reference
42	CYP-TRACE	CYP-TRACE software and reproducibility repository	https://github.com/Eagan-lau/CYP_TRACE/tree/submission-20260922	2026-09-22	42. CYP-TRACE. CYP-TRACE software and reproducibility repository. https://github.com/Eagan-lau/CYP_TRACE/tree/submission-20260922. Accessed 22 Sep 2026.
43	P450Rdb	P450Rdb v2.0 downloads	https://www.cellknowledge.com.cn/p450rdb_v2/download.html	2026-09-22	43. P450Rdb. P450Rdb v2.0 downloads. https://www.cellknowledge.com.cn/p450rdb_v2/download.html. Accessed 22 Sep 2026.
44	UniProt Consortium	UniProt REST API: CYP family query	https://rest.uniprot.org/uniprotkb/search?query=%28xref%3Apfam-PF00067%29&format=tsv&size=1	2026-09-22	44. UniProt Consortium. UniProt REST API: CYP family query. https://rest.uniprot.org/uniprotkb/search?query=%28xref%3Apfam-PF00067%29&format=tsv&size=1. Accessed 22 Sep 2026.
45	Rhea	Rhea data downloads	https://ftp.expasy.org/databases/rhea/	2026-09-22	45. Rhea. Rhea data downloads. https://ftp.expasy.org/databases/rhea/. Accessed 22 Sep 2026.
46	ChEBI	FMNH2(2-), CHEBI:57618	https://www.ebi.ac.uk/chebi/CHEBI:57618	2026-09-22	46. ChEBI. FMNH2(2-), CHEBI:57618. https://www.ebi.ac.uk/chebi/CHEBI:57618. Accessed 22 Sep 2026.
47	InterPro	Cytochrome P450 family, Pfam PF00067	https://www.ebi.ac.uk/interpro/entry/pfam/PF00067/	2026-09-22	47. InterPro. Cytochrome P450 family, Pfam PF00067. https://www.ebi.ac.uk/interpro/entry/pfam/PF00067/. Accessed 22 Sep 2026.
48	RCSB Protein Data Bank	RCSB PDB	https://www.rcsb.org/	2026-09-22	48. RCSB Protein Data Bank. RCSB PDB. https://www.rcsb.org/. Accessed 22 Sep 2026.
49	National Center for Biotechnology Information	NCBI taxonomy downloads	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/new_taxdump/	2026-09-22	49. National Center for Biotechnology Information. NCBI taxonomy downloads. https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/new_taxdump/. Accessed 22 Sep 2026.
50	BRENDA	BRENDA data downloads	https://www.brenda-enzymes.org/download.php	2026-09-22	50. BRENDA. BRENDA data downloads. https://www.brenda-enzymes.org/download.php. Accessed 22 Sep 2026.
51	SABIO-RK	SABIO-RK biochemical reaction kinetics database	https://sabiork.h-its.org/ui/search	2026-09-22	51. SABIO-RK. SABIO-RK biochemical reaction kinetics database. https://sabiork.h-its.org/ui/search. Accessed 22 Sep 2026.
52	CLEAN	CLEAN source code and pretrained-model instructions	https://github.com/tttianhao/CLEAN	2026-09-22	52. CLEAN. CLEAN source code and pretrained-model instructions. https://github.com/tttianhao/CLEAN. Accessed 22 Sep 2026.
53	Evolutionary Scale Modeling	ESM source code and pretrained models	https://github.com/facebookresearch/esm	2026-09-22	53. Evolutionary Scale Modeling. ESM source code and pretrained models. https://github.com/facebookresearch/esm. Accessed 22 Sep 2026.
