dataset	compound_inchikey	canonical_smiles	parent_status	parent_smiles	parent_key	parent_formula
development	AALVUUMVCUHIRJ-UHFFFAOYSA-N	CC1=C(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CCC5CC(OC6OC(COC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C12	ok	CC1=C(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CCC5CC(OC6OC(COC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C12	AALVUUMVCUHIRJ-UHFFFAOYSA-N	C44H72O18
development	AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	ok	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	AAOVKJBEBIDNHE-UHFFFAOYSA-N	C16H13ClN2O
development	ABAQSBNXJMXUHX-UHFFFAOYSA-N	CC(C)=CCc1cc(CC(=O)C(O)c2cc(CC=C(C)C)c(O)cc2O)ccc1O	tautomer_MaxTransformsReached			C25H30O5
development	ABXHVUYVHJIOMQ-UHFFFAOYSA-N	CCC(C)C1=NC(=O)C(CCN)N=C(O)CC(C(C)CC)OC(=O)C(CO)N=C(O)C(CC(C)C)N=C(O)C(C(C)C)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC1O	tautomer_MaxTautomersReached			C54H92N12O12
development	ACCBJOPUSBTZKZ-UHFFFAOYSA-N	CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(=O)CCCCCCCCCCC	ok	CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(=O)CCCCCCCCCCC	ACCBJOPUSBTZKZ-UHFFFAOYSA-N	C90H154N4O47
development	ACCMWZWAEFYUGZ-UHFFFAOYSA-N	CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21	ok	CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21	ACCMWZWAEFYUGZ-UHFFFAOYSA-N	C28H37N3O3
development	ACHFSGOIKJNVJV-UHFFFAOYSA-N	COc1c2c(cc(O)c1-c1cc3ccccc3o1)OCO2	ok	COc1c2c(cc(O)c1-c1cc3ccccc3o1)OCO2	ACHFSGOIKJNVJV-UHFFFAOYSA-N	C16H12O5
development	ACVGWSKVRYFWRP-UHFFFAOYSA-N	O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12	ok	O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12	ACVGWSKVRYFWRP-UHFFFAOYSA-N	C18H13N3O
development	ACWBBAGYTKWBCD-UHFFFAOYSA-N	NC(Cc1ccc(O)c(Cl)c1)C(=O)O	ok	NC(Cc1ccc(O)c(Cl)c1)C(=O)O	ACWBBAGYTKWBCD-UHFFFAOYSA-N	C9H10ClNO3
development	ACWBQPMHZXGDFX-UHFFFAOYSA-N	CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C	ok	CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C	ACWBQPMHZXGDFX-UHFFFAOYSA-N	C24H29N5O3
development	ACXLVKYMISNUFD-UHFFFAOYSA-N	CC1(C=O)CCCC2(C)C1CCC13CC(CO)C(CCC12)C3	ok	CC1(C=O)CCCC2(C)C1CCC13CC(CO)C(CCC12)C3	ACXLVKYMISNUFD-UHFFFAOYSA-N	C20H32O2
development	ADEBPBSSDYVVLD-UHFFFAOYSA-N	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2	ok	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2	ADEBPBSSDYVVLD-UHFFFAOYSA-N	C24H29NO3
development	ADFCQWZHKCXPAJ-UHFFFAOYSA-N	Oc1ccc(C2COc3cc(O)ccc3C2)cc1	ok	Oc1ccc(C2COc3cc(O)ccc3C2)cc1	ADFCQWZHKCXPAJ-UHFFFAOYSA-N	C15H14O3
development	ADHYBIYGSXQYDM-UHFFFAOYSA-N	CN1CC(O)c2cc(O)c(O)cc21	ok	CN1CC(O)c2cc(O)c(O)cc21	ADHYBIYGSXQYDM-UHFFFAOYSA-N	C9H11NO3
development	ADJNQGJVAJRCCO-UHFFFAOYSA-N	C=CC(O)C#CC#CC=CC=CC(O)CCCCC	ok	C=CC(O)C#CC#CC=CC=CC(O)CCCCC	ADJNQGJVAJRCCO-UHFFFAOYSA-N	C17H22O2
development	ADSALMJPJUKESW-UHFFFAOYSA-N	O=C(O)CC1CCCN1	ok	O=C(O)CC1CCCN1	ADSALMJPJUKESW-UHFFFAOYSA-N	C6H11NO2
development	AEMOLEFTQBMNLQ-UHFFFAOYSA-N	O=C(O)C1OC(O)C(O)C(O)C1O	ok	O=C(O)C1OC(O)C(O)C(O)C1O	AEMOLEFTQBMNLQ-UHFFFAOYSA-N	C6H10O7
development	AFBDSAJOMZYQAI-UHFFFAOYSA-N	CC(OC1OCCNC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	ok	CC(OC1OCCNC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	AFBDSAJOMZYQAI-UHFFFAOYSA-N	C20H18F7NO2
development	AFLNGLSTOJPKJJ-UHFFFAOYSA-N	CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C(=O)O)C5CCC43C)C2C1	ok	CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C(=O)O)C5CCC43C)C2C1	AFLNGLSTOJPKJJ-UHFFFAOYSA-N	C42H66O16
development	AFZCVSRIUXFFJO-UHFFFAOYSA-N	CC1(O)CC23C=CC1CC2C1(C)CCC(=O)C(C)(C)C1CC3	ok	CC1(O)CC23C=CC1CC2C1(C)CCC(=O)C(C)(C)C1CC3	AFZCVSRIUXFFJO-UHFFFAOYSA-N	C20H30O2
development	AFZHQMQGUKDWSJ-UHFFFAOYSA-N	CCCCCCCC(=O)OCCCC1C(=C(C)C)CCC2C1(C)CCC1(C)C(C(C)CCC=C(C)C)CCC21C	ok	CCCCCCCC(=O)OCCCC1C(=C(C)C)CCC2C1(C)CCC1(C)C(C(C)CCC=C(C)C)CCC21C	AFZHQMQGUKDWSJ-UHFFFAOYSA-N	C38H66O2
development	AGABNGOXUSXQDD-UHFFFAOYSA-N	CC=C(C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C	ok	CC=C(C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C	AGABNGOXUSXQDD-UHFFFAOYSA-N	C19H20O5
