isoform	compound_inchikey	label	exact_training_overlap	parent_training_overlap	parent_status	strict_external	conservative_identity_exclusion	primary_external	matched_training_ids	names	sources
CYP1A2	AAKJLRGGTJKAMG-UHFFFAOYSA-N	1	False	False	ok	True	False	True		Erlotinib	DrugBank
CYP1A2	AALVUUMVCUHIRJ-UHFFFAOYSA-N	0	True	True	ok	False	False	False	AALVUUMVCUHIRJ-UHFFFAOYSA-N	(2r_3s_4s_5r_6r)_2_(hydroxymethyl)_6__(2r)_4__(1r_2s_4s_8s_9s_12s_13s_15r_16r_18s)_15_hydroxy_7_9_13_trimethyl_16__(2r_3r_4r_5s_6r)_3_4_5_trihydroxy_6___(2s_3r_4r_5r)_3_4_5_trihydroxyoxan_2_yl_oxymethyl_oxan_2_yl_oxy_5_oxapentacyclo_10.8.0.02_9.04_8.013_18_icos_6_en_6_yl__2_methylbutoxy_oxane_3_4_5_triol	Holmer
CYP1A2	AAOVKJBEBIDNHE-UHFFFAOYSA-N	0	True	True	ok	False	False	False	AAOVKJBEBIDNHE-UHFFFAOYSA-N	diazepam	Yamashita
CYP1A2	ABAQSBNXJMXUHX-UHFFFAOYSA-N	0	True	False	tautomer_MaxTransformsReached	False	True	False		kanzonol_y	Holmer
CYP1A2	ABXHVUYVHJIOMQ-UHFFFAOYSA-N	0	True	False	tautomer_MaxTautomersReached	False	True	False		permetin_a	Holmer
CYP1A2	ACCBJOPUSBTZKZ-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ACCBJOPUSBTZKZ-UHFFFAOYSA-N	ganglioside_gt1b_(d18:1/12:0)	Holmer
CYP1A2	ACCMWZWAEFYUGZ-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ACCMWZWAEFYUGZ-UHFFFAOYSA-N	bilastine	Holmer
CYP1A2	ACHFSGOIKJNVJV-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ACHFSGOIKJNVJV-UHFFFAOYSA-N	2-(6-Hydroxy-2-methoxy-3,4-methylenedioxyphenyl)benzofuran	Holmer
CYP1A2	ACVGWSKVRYFWRP-UHFFFAOYSA-N	1	True	True	ok	False	False	False	ACVGWSKVRYFWRP-UHFFFAOYSA-N	rutaecarpine	Yamashita
CYP1A2	ACWBBAGYTKWBCD-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ACWBBAGYTKWBCD-UHFFFAOYSA-N	3_chloro_l_tyrosine	Holmer
CYP1A2	ACWBQPMHZXGDFX-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ACWBQPMHZXGDFX-UHFFFAOYSA-N	valsartan	Yamashita
CYP1A2	ACWZRVQXLIRSDF-UHFFFAOYSA-N	1	False	False	ok	True	False	True		Binimetinib	DrugBank
CYP1A2	ACXLVKYMISNUFD-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ACXLVKYMISNUFD-UHFFFAOYSA-N	ent-17-Hydroxy-16beta-kauran-19-al	Holmer
CYP1A2	ADEBPBSSDYVVLD-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ADEBPBSSDYVVLD-UHFFFAOYSA-N	donepezil	Yamashita
CYP1A2	ADFCQWZHKCXPAJ-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ADFCQWZHKCXPAJ-UHFFFAOYSA-N	equol	Holmer
CYP1A2	ADHYBIYGSXQYDM-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ADHYBIYGSXQYDM-UHFFFAOYSA-N	adrenochrome_o_semiquinone	Holmer
CYP1A2	ADJNQGJVAJRCCO-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ADJNQGJVAJRCCO-UHFFFAOYSA-N	(all_e)_1_8_10_heptadecatriene_4_6_diyne_3_12_diol	Holmer
CYP1A2	ADSALMJPJUKESW-UHFFFAOYSA-N	0	True	True	ok	False	False	False	ADSALMJPJUKESW-UHFFFAOYSA-N	(s)_2_pyrrolidineacetic_acid	Holmer
CYP1A2	AELCINSCMGFISI-UHFFFAOYSA-N	0	False	False	ok	True	False	True		tranylcypromine	DrugBank
CYP1A2	AEMFNILZOJDQLW-UHFFFAOYSA-N	0	False	True	ok	True	False	True	SQGZFRITSMYKRH-UHFFFAOYSA-N	androstenedione	Yamashita
CYP1A2	AEMOLEFTQBMNLQ-UHFFFAOYSA-N	0	True	True	ok	False	False	False	AEMOLEFTQBMNLQ-UHFFFAOYSA-N	beta_d_galactopyranuronic_acid	Holmer
CYP1A2	AFBDSAJOMZYQAI-UHFFFAOYSA-N	0	True	True	ok	False	False	False	AFBDSAJOMZYQAI-UHFFFAOYSA-N	aprepitant_m1	Holmer
