query	panel	group	method	domain	candidates	positives	deterministic_RR	tie_averaged_RR	conditional_defined
185a00ed662ccf1095f3ea6c6f338e636f5662cb62854a2d5c8da0aa44ca734a	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	mmseqs_top1	own	1	0	0.0	0.0	False
185a00ed662ccf1095f3ea6c6f338e636f5662cb62854a2d5c8da0aa44ca734a	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	esm_cosine_top1	own	1	0	0.0	0.0	False
185a00ed662ccf1095f3ea6c6f338e636f5662cb62854a2d5c8da0aa44ca734a	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	mmseqs_top1	common	1	0	0.0	0.0	False
185a00ed662ccf1095f3ea6c6f338e636f5662cb62854a2d5c8da0aa44ca734a	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	esm_cosine_top1	common	1	0	0.0	0.0	False
5620bb43081c45db7de6fd78b4fa513badf5df06dc7e3853ba55e156a4ba5cfe	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	mmseqs_top1	own	1	0	0.0	0.0	False
5620bb43081c45db7de6fd78b4fa513badf5df06dc7e3853ba55e156a4ba5cfe	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	esm_cosine_top1	own	2	0	0.0	0.0	False
5620bb43081c45db7de6fd78b4fa513badf5df06dc7e3853ba55e156a4ba5cfe	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	mmseqs_top1	common	0	0	0.0	0.0	False
5620bb43081c45db7de6fd78b4fa513badf5df06dc7e3853ba55e156a4ba5cfe	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	esm_cosine_top1	common	0	0	0.0	0.0	False
9c8000712c5501dc384356a6000b613b796ae06d9651a52ae73bfb217cb3f58e	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	mmseqs_top1	own	1	1	1.0	1.0	True
9c8000712c5501dc384356a6000b613b796ae06d9651a52ae73bfb217cb3f58e	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	esm_cosine_top1	own	1	0	0.0	0.0	False
9c8000712c5501dc384356a6000b613b796ae06d9651a52ae73bfb217cb3f58e	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	mmseqs_top1	common	0	0	0.0	0.0	False
9c8000712c5501dc384356a6000b613b796ae06d9651a52ae73bfb217cb3f58e	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	esm_cosine_top1	common	0	0	0.0	0.0	False
d22ea1ae6040a527b122d3a816fd62fa8daf980b72e99762bd0adf8072c0b527	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	mmseqs_top1	own	1	0	0.0	0.0	False
d22ea1ae6040a527b122d3a816fd62fa8daf980b72e99762bd0adf8072c0b527	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	esm_cosine_top1	own	6	0	0.0	0.0	False
d22ea1ae6040a527b122d3a816fd62fa8daf980b72e99762bd0adf8072c0b527	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	mmseqs_top1	common	0	0	0.0	0.0	False
d22ea1ae6040a527b122d3a816fd62fa8daf980b72e99762bd0adf8072c0b527	protein_cold:p0:cNone	70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	esm_cosine_top1	common	0	0	0.0	0.0	False
0857b109be10e6016e3e732250cfa3429da3ab43599779145c65e28f87df6d4a	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	own	1	0	0.0	0.0	False
0857b109be10e6016e3e732250cfa3429da3ab43599779145c65e28f87df6d4a	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	own	1	0	0.0	0.0	False
0857b109be10e6016e3e732250cfa3429da3ab43599779145c65e28f87df6d4a	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	common	0	0	0.0	0.0	False
0857b109be10e6016e3e732250cfa3429da3ab43599779145c65e28f87df6d4a	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	common	0	0	0.0	0.0	False
0c00617a6a477efed427a158b4ef2152ac2c9e85663b469c144e34b49e968f0d	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	mmseqs_top1	own	2	0	0.0	0.0	False
0c00617a6a477efed427a158b4ef2152ac2c9e85663b469c144e34b49e968f0d	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	esm_cosine_top1	own	1	0	0.0	0.0	False
0c00617a6a477efed427a158b4ef2152ac2c9e85663b469c144e34b49e968f0d	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	mmseqs_top1	common	0	0	0.0	0.0	False
0c00617a6a477efed427a158b4ef2152ac2c9e85663b469c144e34b49e968f0d	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	esm_cosine_top1	common	0	0	0.0	0.0	False
206ce4143020fdad1faa2a32893dce6b14d7a711ca5edeb64d89090a587c97ca	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	own	52	0	0.0	0.0	False
206ce4143020fdad1faa2a32893dce6b14d7a711ca5edeb64d89090a587c97ca	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	own	2	0	0.0	0.0	False
206ce4143020fdad1faa2a32893dce6b14d7a711ca5edeb64d89090a587c97ca	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	common	0	0	0.0	0.0	False
206ce4143020fdad1faa2a32893dce6b14d7a711ca5edeb64d89090a587c97ca	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	common	0	0	0.0	0.0	False
223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	mmseqs_top1	own	1	0	0.0	0.0	False
223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	esm_cosine_top1	own	10	0	0.0	0.0	False
223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	mmseqs_top1	common	0	0	0.0	0.0	False
223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	esm_cosine_top1	common	0	0	0.0	0.0	False
